Date,Time,DateTime,Temp_Box,Hum_Box,Temp_266,Hum_266
2021-08-13,1:00:00,13/08/21 01:00,20.33333333,48.5,32,56.16666667
2021-08-13,2:00:00,13/08/21 02:00,19.33333333,52.16666667,32,58.83333333
2021-08-13,3:00:00,13/08/21 03:00,18.66666667,56.5,32,58.83333333
2021-08-13,4:00:00,13/08/21 04:00,18.16666667,58,32,59.83333333
2021-08-13,5:00:00,13/08/21 05:00,17.5,56.5,32,59.16666667
2021-08-13,6:00:00,13/08/21 06:00,17.66666667,56.5,32,58.83333333
2021-08-13,7:00:00,13/08/21 07:00,20.16666667,54.66666667,31.33333333,59.16666667
2021-08-13,8:00:00,13/08/21 08:00,26.66666667,42,32,59.83333333
2021-08-13,9:00:00,13/08/21 09:00,29.83333333,35.33333333,32.5,55.66666667
2021-08-13,10:00:00,13/08/21 10:00,32,30.66666667,34,45.83333333
2021-08-13,11:00:00,13/08/21 11:00,33.66666667,28.33333333,35,42.5
2021-08-13,12:00:00,13/08/21 12:00,35.5,28.33333333,35,44.5
2021-08-13,13:00:00,13/08/21 13:00,36.66666667,26.66666667,35.16666667,43.5
2021-08-13,14:00:00,13/08/21 14:00,37.33333333,27.16666667,35.83333333,43.5
2021-08-13,15:00:00,13/08/21 15:00,36.83333333,29,36,44.83333333
2021-08-13,16:00:00,13/08/21 16:00,36.33333333,27.16666667,36,43.83333333
2021-08-13,17:00:00,13/08/21 17:00,34.66666667,26.16666667,35,40.33333333
2021-08-13,18:00:00,13/08/21 18:00,31.16666667,31.66666667,34.83333333,39
2021-08-13,19:00:00,13/08/21 19:00,28,35,34,38.66666667
2021-08-13,20:00:00,13/08/21 20:00,25.33333333,40.5,33,40.16666667
2021-08-13,21:00:00,13/08/21 21:00,24,40.66666667,33,43
2021-08-13,22:00:00,13/08/21 22:00,22.66666667,48.33333333,32.66666667,45.5
2021-08-13,23:00:00,13/08/21 23:00,22,48.83333333,33,49
2021-08-14,0:00:00,14/08/21 00:00,21.66666667,52.5,33,51.33333333
2021-08-14,1:00:00,14/08/21 01:00,21,54.83333333,33,55.33333333
2021-08-14,2:00:00,14/08/21 02:00,20,57,33,58.83333333
2021-08-14,3:00:00,14/08/21 03:00,19.5,58,33,60
2021-08-14,4:00:00,14/08/21 04:00,19,59.83333333,33,60.33333333
2021-08-14,5:00:00,14/08/21 05:00,18.5,60.66666667,32.5,60.33333333
2021-08-14,6:00:00,14/08/21 06:00,18,61.66666667,32,58.83333333
2021-08-14,7:00:00,14/08/21 07:00,20.66666667,59,32,60.16666667
2021-08-14,8:00:00,14/08/21 08:00,25.66666667,51,32.16666667,60.66666667
2021-08-14,9:00:00,14/08/21 09:00,28.5,42,33.16666667,56.83333333
2021-08-14,10:00:00,14/08/21 10:00,29.83333333,38,34,53.5
2021-08-14,11:00:00,14/08/21 11:00,33.33333333,32.83333333,34.66666667,50
2021-08-14,12:00:00,14/08/21 12:00,35.16666667,30.66666667,35,45
2021-08-14,13:00:00,14/08/21 13:00,33.16666667,34,34.66666667,42.33333333
2021-08-14,14:00:00,14/08/21 14:00,36,30.66666667,34.5,45.33333333
2021-08-14,15:00:00,14/08/21 15:00,37.5,27.66666667,35.83333333,45
2021-08-14,16:00:00,14/08/21 16:00,35.66666667,33.5,35.5,43.66666667
2021-08-14,17:00:00,14/08/21 17:00,35,34.16666667,35,43.16666667
2021-08-14,18:00:00,14/08/21 18:00,30.33333333,39.66666667,34,42.33333333
2021-08-14,19:00:00,14/08/21 19:00,28,42,33.66666667,43
2021-08-14,20:00:00,14/08/21 20:00,26,48.5,32.66666667,43.83333333
2021-08-14,21:00:00,14/08/21 21:00,24.33333333,56,32,45.83333333
2021-08-14,22:00:00,14/08/21 22:00,23.66666667,60,32.33333333,51
2021-08-14,23:00:00,14/08/21 23:00,22.66666667,65,32,50.66666667
2021-08-15,0:00:00,15/08/21 00:00,21.33333333,69,32,53.16666667
2021-08-15,1:00:00,15/08/21 01:00,20.16666667,73,32,55.66666667
2021-08-15,2:00:00,15/08/21 02:00,20,76.66666667,32,60.16666667
2021-08-15,3:00:00,15/08/21 03:00,20,77,32,61
2021-08-15,4:00:00,15/08/21 04:00,19.83333333,78.5,32,60
2021-08-15,5:00:00,15/08/21 05:00,19,80,32,61.16666667
2021-08-15,6:00:00,15/08/21 06:00,19,80.5,32,62.75
2021-08-15,7:00:00,15/08/21 07:00,21,75.6,32,60.4
2021-08-15,8:00:00,15/08/21 08:00,25.83333333,59.66666667,32.4,59.8
2021-08-15,9:00:00,15/08/21 09:00,28.83333333,50.83333333,33.33333333,58.16666667
2021-08-15,10:00:00,15/08/21 10:00,31.33333333,44.5,34.16666667,55.66666667
2021-08-15,11:00:00,15/08/21 11:00,34.16666667,37.33333333,35,48.83333333
2021-08-15,12:00:00,15/08/21 12:00,35.5,35.66666667,35.33333333,50
2021-08-15,13:00:00,15/08/21 13:00,37.83333333,32.16666667,35.83333333,48.5
2021-08-15,14:00:00,15/08/21 14:00,39.5,30.66666667,36,48.83333333
2021-08-15,15:00:00,15/08/21 15:00,39.16666667,31.83333333,36,49
2021-08-15,16:00:00,15/08/21 16:00,39,32.16666667,36,50.83333333
2021-08-15,17:00:00,15/08/21 17:00,37.5,32.5,35.33333333,51.66666667
2021-08-15,18:00:00,15/08/21 18:00,34.5,36.5,34.83333333,47.5
2021-08-15,19:00:00,15/08/21 19:00,30.66666667,43.5,34,46.66666667
2021-08-15,20:00:00,15/08/21 20:00,28.16666667,48.5,33,46.5
2021-08-15,21:00:00,15/08/21 21:00,26.16666667,52.33333333,33,54.16666667
2021-08-15,22:00:00,15/08/21 22:00,24.66666667,57.5,33,56
2021-08-15,23:00:00,15/08/21 23:00,23.33333333,60.83333333,32.83333333,56.16666667
2021-08-16,0:00:00,16/08/21 00:00,21.83333333,66,32.16666667,57.16666667
2021-08-16,1:00:00,16/08/21 01:00,21,67.5,32,58.33333333
2021-08-16,2:00:00,16/08/21 02:00,20.5,69.16666667,32,59.83333333
2021-08-16,3:00:00,16/08/21 03:00,19.83333333,74.16666667,32,59.16666667
2021-08-16,4:00:00,16/08/21 04:00,19.16666667,77.16666667,31.66666667,58.83333333
2021-08-16,5:00:00,16/08/21 05:00,19,76,31.16666667,59.16666667
2021-08-16,6:00:00,16/08/21 06:00,19,76.83333333,31,59.33333333
2021-08-16,7:00:00,16/08/21 07:00,21.16666667,73,31.66666667,61.33333333
2021-08-16,8:00:00,16/08/21 08:00,25.66666667,59.83333333,31.83333333,61
2021-08-16,9:00:00,16/08/21 09:00,29.33333333,49.16666667,32.66666667,57.16666667
2021-08-16,10:00:00,16/08/21 10:00,30.5,46.66666667,34.16666667,52.16666667
2021-08-16,11:00:00,16/08/21 11:00,34,41,35,50
2021-08-16,12:00:00,16/08/21 12:00,36.5,36.16666667,35.5,50.16666667
2021-08-16,13:00:00,16/08/21 13:00,37.83333333,33.33333333,36,50.83333333
2021-08-16,14:00:00,16/08/21 14:00,38,35.33333333,35.83333333,52.66666667
2021-08-16,15:00:00,16/08/21 15:00,37.83333333,36.83333333,36,52.66666667
2021-08-16,16:00:00,16/08/21 16:00,36.83333333,37.16666667,35.66666667,51.66666667
2021-08-16,17:00:00,16/08/21 17:00,34.66666667,38.16666667,35,48.33333333
2021-08-16,18:00:00,16/08/21 18:00,31.33333333,45,34.16666667,47.66666667
2021-08-16,19:00:00,16/08/21 19:00,28.16666667,53,33.5,47.83333333
2021-08-16,20:00:00,16/08/21 20:00,26.5,58.83333333,32.66666667,49
2021-08-16,21:00:00,16/08/21 21:00,25,64,32.33333333,51
2021-08-16,22:00:00,16/08/21 22:00,23.66666667,69.33333333,32.33333333,54
2021-08-16,23:00:00,16/08/21 23:00,22.33333333,72.83333333,32,54.33333333
2021-08-17,0:00:00,17/08/21 00:00,22,76,32,54.5
